,0,1,2
2400,Lipopolysaccharides,lipopolysaccharide,1
2401,LIS1 Pathway,LIS1 pathway,2
2402,Lissencephaly,lissencephaly,15
2403,Lissencephaly,Lissencephaly,2
2404,Lissencephaly,human lissencephaly,1
2405,Lissencephaly 3,Lis3,1
2406,LISSENCEPHALY 4,Lis4,1
2407,Listeria monocytogenes,Listeria monocytogenes,1
2408,Lithium,lithium,1
2409,Liver carcinoma,hepatocellular carcinomas,1
2410,Liver Flavor,liver,7
2411,Liver parenchyma,liver tissues,1
2412,Local,local,1
2413,local level,local level,1
2414,localization,localizations,1
2415,localization within membrane,perimembrane localization,1
2416,Localized,localized,27
2417,Localized,colocalize,4
2418,Localized,colocalized,4
2419,Localized,localizing,1
2420,Localized,localise,1
2421,location participation type,location,4
2422,Locus,locus,4
2423,Locus Control Region,locus control region,1
2424,Logical Condition,conditions,4
2425,Long,long,5
2426,Long,elongated,1
2427,Long-term,long-term,11
2428,Long-Term Depression Pathway,LTD,4
2429,Long-Term Potentiation Pathway,LTP,8
2430,Looping Medical Device Problem,looping,1
2431,Loss,loss,23
2432,Loss,Loss,4
2433,Loss,loss of,1
2434,Lost Medical Device,lost,1
2435,Lower (action),lower,3
2436,Lower case Roman letter b,B,1
2437,LRFN1 gene,Lrfn1,4
2438,LRFN2 gene,Lrfn2,3
2439,LRFN3 gene,Lrfn3,2
2440,LRFN4 gene,Lrfn4,3
2441,LRFN5 gene,Lrfn5,2
2442,LRIT3 gene,LRIT3,6
2443,LRIT3 gene,Lrit3,1
2444,LRP8 gene,ApoER2,3
2445,LRP8 gene,Lrp8,1
2446,LRP8 gene,apolipoprotein E receptor 2,1
2447,L-Type Calcium Channels,L-type calcium channels,1
2448,luciferin monooxygenase activity,luciferase activity,3
2449,Lung,lung,6
2450,LY 294002,LY294002,1
2451,Lyase Gene,lyase gene,1
2452,lymph node development,hematopoietic development,1
2453,Lymphocyte Activation,lymphocyte activation,1
2454,Lymphocytic (qualifier value),lymphocytic,1
2455,"Lymphohistiocytosis, Hemophagocytic",HLH protein,1
2456,Lysine,lysine,4
2457,lysophosphatidic acid,lysophosphatidic acid,1
2458,Lysosomes,lysosomes,1
2459,Macromolecular alteration,conformational change,2
2460,macrophage,macrophages,5
2461,macrophage,mouse bone marrow-derived macrophages,1
2462,macrophage,BMMs,3
2463,macrophage,macrophage,1
2464,Macrophage Activation,macrophage activation,1
2465,Macrophage Colony-Stimulating Factor,macrophage colony-stimulating factor,1
2466,Macrophage Colony-Stimulating Factor,M-CSF,2
2467,"Macrophages, Peritoneal",peritoneal macrophages,1
2468,Made redundant (finding),redundant,1
2469,Madin Darby Canine Kidney Cells,MDCK,1
2470,Madin Darby Canine Kidney Cells,MDCK cell lines,1
2471,Madin Darby Canine Kidney Cells,MDCK cells,3
2472,MAGEE1 gene,damage,1
2473,Main,predominant,5
2474,main terminal branch,Mycobacterium tuberculosis,1
2475,Maintenance,maintenance,12
2476,Maintenance,maintain,1
2477,Male Phenotype,male,14
2478,"Malformations of Cortical Development, Group II",neuronal migration disorders,2
2479,"Malformations of Cortical Development, Group II",neuronal migration disorder,3
2480,Malignant neoplasm of breast,breast cancer,3
2481,Malignant Neoplasms,cancers,5
2482,Malignant Neoplasms,cancer,9
2483,Malignant Neoplasms,Cancer,1
2484,Mammalian Cell,mammalian cells,14
2485,Mammals,mammalian,38
2486,Mammals,mammals,13
2487,Mammals,mammalian genes,1
2488,Mammals,Mammalian,3
2489,Mammary Epithelium,mammary epithelia,1
2490,Mammary Epithelium,mammary epithelium,4
2491,Mammary Epithelium,mammary ductal epithelium,1
2492,Mammary gland,mammary gland,4
2493,Mammary gland,mammary glands,1
2494,mammary gland development,mammary development,1
2495,mammary gland development,mammary gland development,1
2496,MAMSTR gene,MASTR,2
2497,manchette,manchette,1
2498,Manifest,manifest,1
2499,Manifestation of,manifestations,1
2500,Manipulation procedure,manipulation,1
2501,MAP Kinase Cascade,MAP kinase cascade,1
2502,"MAPK14 protein, human",p38 MAPK,1
2503,MAPK8IP1 gene,Ib1,1
2504,mapped,mapped,7
2505,Mapping (action),mapping,4
2506,Mapping (action),Mapping,1
2507,Marginal Zone,marginal zone,1
2508,Marginal Zone,MZ,1
2509,Marines,marine,1
2510,MARK2 gene,serine/threonine kinase,1
2511,MARK2 gene,serine/threonine kinases,1
2512,Markers (device),markers,7
2513,Mass Spectrometry,mass spectrometry,5
2514,Mass Spectrometry,Mass spectrometry,1
2515,Massive,massive,1
2516,Massive,marks,1
2517,Massively-Parallel Sequencing,next-generation sequencing,1
2518,Mass-to-Charge Ratio,MZ B,1
2519,mast cell,mast cells,2
2520,mast cell,mast cell,1
2521,Mathematical Factor,factor,4
2522,Mathematical Model,Mathematical modeling,1
2523,Mathematical Operator,function,77
2524,matrigel,Matrigel,1
2525,Matrix Attachment Regions,scaffold attachment,2
2526,Matrix Metalloproteinase 9,MMP-9,1
2527,Mature,mature,21
2528,MBD2 gene,MBD2,13
2529,MBD2 gene,Mbd2,1
2530,MBD3 gene,MBD3,9
2531,MBD3 gene,methyl-CpG binding domain,2
2532,MBD3 gene,MBD,1
2533,MBD3 gene,Mbd3,2
2534,MBD3 gene,MBD3 proteins,1
2535,MBD4 gene,Mbd4 genes,1
2536,"MBD4 protein, human",MBD4,7
2537,"MBD4 protein, human",Mbd4,1
2538,MCF-7 Cells,MCF-7 cells,1
2539,"MCM4 protein, human",cdc21 homolog,1
2540,MDF Attribute Type - Indicator,indicator,1
2541,MDM2 gene,Mdm2,1
2542,Measured Tumor Identification,measured,1
2543,Measurement,measurement,2
2544,Measurement,Measurement of,1
2545,Measurement,measurements,1
2546,Mechanism (attribute),mechanism,36
2547,Mechanism (attribute),mechanisms,20
2548,MECOM gene,Prdm3,4
2549,MECP2 gene,methyl-CpG-binding proteins,1
2550,MECP2 wt Allele,MeCP2,4
2551,Mediate,mediates,1
2552,Mediator brand of benfluorex hydrochloride,mediators,1
2553,Mediator of activation protein,mediator,4
2554,Mediator of activation protein,coactivator complex,1
2555,Medical Device Misassembled by Users,misassembled,1
2556,Medical Product Stability,stability,5
2557,Medium,medium,1
2558,MEF2 Transcription Factors,MEF2 protein,2
2559,MEF2 Transcription Factors,MEF2 proteins,2
2560,MEF2 Transcription Factors,Mef2C,6
2561,MEF2 Transcription Factors,Myocyte enhancer factor 2,3
2562,MEF2 Transcription Factors,MEF2 transcription factor,1
2563,MEF2 Transcription Factors,myocyte enhancer factor 2,1
2564,MEF2A gene,MEF2A,4
2565,MEF2C gene,MEF2C gene,2
2566,MEF2C gene,Mef2c,6
2567,MEF2D gene,MEF2D RNA,1
2568,MEFV gene,pyrin,1
2569,Megakaryocytes,megakaryocyte,2
2570,Megakaryocytes,megakaryocytic cells,1
2571,Megakaryocytopoiesis,megakaryopoiesis,1
2572,meiotic cell cycle,meiosis,4
2573,Meiotic chromosome,meiotic chromosomes,2
2574,Meiotic Prophase I,Prophase I,1
2575,Meiotic Prophase I,meiotic prophase I,1
2576,Meiotic Recombination,meiotic recombination,1
2577,Melanosomes,melanosomes,1
2578,member,members,26
2579,member,member,17
2580,member,Members,4
2581,Membrane,membrane,5
2582,membrane budding,vesicle formation,1
2583,Membrane Proteins,membrane-associated proteins,1
2584,Membrane Proteins,membrane proteins,2
2585,Membrane Transport Proteins,transporters,2
2586,membrane-associated guanylate kinase,membrane-associated guanylate kinases,1
2587,membrane-associated guanylate kinase,MAGUKs,4
2588,memory b cell,memory B cells,3
2589,Memory Device Component,memory,12
2590,Memory Device Component,Memory,1
2591,Memory impairment,memory deficits,1
2592,Memory performance,memory performance,1
2593,Memory recall,memory recall,1
2594,Mental association,association,29
2595,Mental association,associations,2
2596,Mental concentration,concentration,2
2597,Mental concentration,concentrations,6
2598,Mental Depression,depression,3
2599,Mental disorders,psychiatric disorders,1
2600,Mental Orientation,orientation,3
2601,Mental Retardation,mental retardation,3
2602,mercaptopurine,6-mercaptopurine,1
2603,Mesenchyma,mesenchyme,1
2604,Mesoderm,mesoderm,7
2605,mesodermal,mesodermal,4
2606,Mesodermal cell,mesodermal cell fates,1
2607,Mesodermal cell,mesodermal cells,1
2608,messenger ribonucleoprotein,messenger ribonucleoprotein,1
2609,messenger ribonucleoprotein,mRNP,1
2610,Mesylates,mesylate,1
2611,"MET protein, human",hepatocyte growth factor receptor,1
2612,MET wt Allele,c-met,1
2613,MET wt Allele,c-Met,2
2614,Metabolic,metabolic,1
2615,Metabolic Inhibition,inhibition,30
2616,Metabolic Inhibition,Inhibition,6
2617,metabolic rates,metabolic rate,1
2618,Metabolism,metabolic processes,1
2619,Metalloproteases,metalloproteinase 22,1
2620,Metazoa,Metazoans,1
2621,Methionine,methionine,1
2622,Methodology,METHODOLOGY,1
2623,Methods,METHODS,1
2624,Methyl Methanesulfonate,methyl methanesulfonate,1
2625,methylate,methylated,5
2626,methylate,methylate,1
2627,Methylation,Methylation,1
2628,Methylation,methylation,19
2629,methyl-CpG binding,methyl-CpG,1
2630,Methyltransferase,methyltransferases,1
2631,Methyltransferase,methyltransferase,1
2632,methyltransferase activity,methyltransferase activity,1
2633,MG 132,MG132,1
2634,Mi-2 Nucleosome Remodeling and Deacetylase Complex,NuRD complex,1
2635,MICALL2 gene,junctional Rab13-binding protein,1
2636,MICALL2 gene,JRAB,3
2637,"Mice, Inbred NOD",nonobese diabetic,1
2638,"Mice, Inbred NOD",NOD,1
2639,"Mice, Knockout",knockout mouse,1
2640,"Mice, Knockout",knockout mice,5
2641,"Mice, Knockout",Dpep3-/-,1
2642,"Mice, Transgenic",transgenic mice,5
2643,"Mice, Transgenic",Transgenic mice,2
2644,Microarray,microarray,1
2645,Microarray Analysis,expression profile,1
2646,Microarray Analysis,gene expression profiling,1
2647,Microarray Analysis,microarray analysis,1
2648,Microcephaly,microcephaly,1
2649,Microcephaly,microencephaly,1
2650,Micrococcal Nuclease,micrococcal nuclease,1
2651,Microfibrils,microfibril proteins,1
2652,Microfilaments,actin cytoskeleton,8
2653,Microfilaments,actin filaments,1
2654,Microglia,microglia,1
2655,Microinjections,Microinjection,1
2656,Microinjections,microinjection,4
2657,"Microscopy, Confocal",confocal microscopy,2
2658,"Microscopy, Immunoelectron",Immunoelectron microscopy,1
2659,Microtubule cytoskeleton,microtubule cytoskeleton,1
2660,Microtubule-Associated Proteins,microtubule-associated protein,1
2661,Microtubule-Associated Proteins,microtubule-associated proteins,1
2662,Microtubule-Associated Proteins 1A/1B Light Chain 3,LC3,1
2663,Microtubule-Organizing Center,MTOC,1
2664,Microtubule-Organizing Center,microtubule-organizing center,1
2665,Microtubules,microtubules,14
2666,Microtubules,microtubule,21
2667,Microtubules,MT,5
2668,Midbrain structure,mesencephalon,1
2669,Midbrain structure,midbrain,2
2670,Midline 1 RING Finger Protein,midline-1,1
2671,migrated,migrate,5
2672,migrated,migrating,3
2673,"Migration, Cell",cell migration,6
2674,Migratory (qualifier value),migratory,2
2675,Miller Dieker syndrome,Miller-Dieker lissencephaly syndrome,1
2676,Miller Dieker syndrome,MDS,8
2677,Miller Dieker syndrome,Miller-Dieker syndrome,3
2678,Minichromosome Maintenance 1 Protein,MCM,2
2679,Minichromosome Maintenance Complex Component 5,CDC46 protein,1
2680,Missense Mutation,Missense mutations,1
2681,Missense Mutation,missense mutations,1
2682,Missing Study Animal,missing,2
2683,Mitochondria,mitochondrion,2
2684,Mitochondria,mitochondria,19
2685,Mitochondrial Biogenesis,basal mitochondrial biogenesis,1
2686,Mitochondrial Degradation,mitophagy,3
2687,mitochondrial depolarization,mitochondrial depolarization,2
2688,Mitochondrial Diseases,mitochondrial disease,1
2689,mitochondrial DNA metabolic process,mitochondrial metabolism,1
2690,Mitochondrial Inheritance,mitochondrial,9
2691,Mitochondrial Inheritance,mitochondrially,1
2692,Mitochondrial Inheritance,mitochondrial iron,2
2693,Mitochondrial Inheritance,mitochondrial mass,1
2694,Mitochondrial matrix,mitochondrial matrix,2
2695,"Mitochondrial Membrane, Outer",mitochondrial outer membrane,2
2696,Mitochondrial Membranes,mitochondrial membranes,1
2697,Mitochondrial Membranes,mitochondrial membrane,1
2698,mitochondrial processing peptidase,mitochondrial processing peptidase,1
2699,Mitochondrial Proteins,mitochondrial protein,2
2700,Mitogen-activated protein,mitogen-activated protein,1
2701,Mitogen-activated protein,MAP,7
2702,mitogen-activated protein kinase p38,p38 mitogen-activated protein kinase signaling,1
2703,mitogen-activated protein kinase p38,p38 mitogen-activated protein,1
2704,Mitogen-Activated Protein Kinases,MAP kinase,3
2705,Mitogen-Activated Protein Kinases,MAPK,1
2706,mitogenic activity,mitogenic activity,2
2707,Mitosis,mitosis,9
2708,Mitosis,mitotic cycle,1
2709,Mitotic,mitotic,1
2710,Mitotic Cell Cycle,cell cycle,5
2711,Mitotic chromosome,mitotic chromosomes,7
2712,Mitotic Spindle Apparatus,mitotic spindle,1
2713,Mixed phenotype acute leukemia,mixed lineage leukaemia,1
2714,Mixed phenotype acute leukemia,MLL,3
2715,Mixture,mixture,1
2716,"MLL protein, human",ALL-1,2
2717,"MLL protein, human",All-1,3
2718,"MLL protein, human",ALL-1 gene,1
2719,"MLL protein, human",All-1 proteins,1
2720,MLL/MLLT3 Fusion Gene,MLL-AF9,1
2721,mmHg,mmHg,1
2722,MMP9 gene,matrix metalloproteinase 9,1
2723,Model,models,2
2724,Model Number,model,7
2725,"Models, Genetic",genetic models,1
2726,"Models, Molecular",molecular model,1
2727,Moderation,moderate,1
2728,Modified By,modifier,2
2729,Modulated,modulates,8
2730,Modulated,modulate,7
2731,Modulated,modulation,7
2732,Modulated,modulated,1
2733,Modulated,modulating,4
2734,Modulated,Modulation,1
2735,Module,module,2
2736,Molecular,molecular,2
2737,MOLECULAR BASIS,molecular basis,6
2738,Molecular Conformation,conformation,1
2739,Molecular helix,helix 3,1
2740,Molecular helix,helix,1
2741,Molecular Mass,molecular masses,1
2742,Molecular Mass,molecular mass,1
2743,Molecular Target,molecular targets,1
2744,Molecular Target,molecular target,1
2745,Molecular Weight,molecular weight pool,2
2746,Molecular Weight,molecular weight,1
2747,Molecule,molecule,6
2748,Molecule,molecules,15
2749,Monkeys,monkey,1
2750,Monobasic Proteolytic Cleavage Site,proteolytic cleavage site,1
2751,Monoclonal Antibodies,mAb,1
2752,monomer,monomer,1
2753,monomer,monomers,1
2754,Monomeric GTP-Binding Proteins,monomeric small G-proteins,1
2755,Monomeric GTP-Binding Proteins,small GTPase,1
2756,Monophasic,monophasic,1
2757,Morphogenesis,morphogenesis,4
2758,morphogenesis of a branching structure,branching morphogenesis,1
2759,Morphologic Complete Response,morphologic,1
2760,morphological,morphological,2
2761,"Mortality, Premature",premature death,1
2762,Mother (person),maternal,2
2763,Mother (person),mother,2
2764,Motility result,motility,2
2765,motor movement,motor,2
2766,Motor protein,motor protein,1
2767,Mount used,mounted,1
2768,Mouse Cornea,mouse cornea,1
2769,Mouse Embryonic Stem Cells,mouse embryonic stem,1
2770,Mouse Embryonic Stem Cells,mouse embryonic stem cells,2
2771,Mouse Embryonic Stem Cells,mESCs,4
2772,Mouse Heart,mouse heart,3
2773,Mouse Liver,mouse liver,1
2774,Mouse mammary tumor virus,mouse mammary tumor,1
2775,Mouse Model,mouse model,4
2776,Mouse Ovary,mouse ovary,1
2777,Mouse Prostate Gland,mouse prostate,1
2778,Mouse Protein,mouse proteins,1
2779,Mouse Skin,mouse skin,1
2780,Mouse Strains,mouse strain,1
2781,Mouse Testis,mouse testis,3
2782,Movement,movement,3
2783,MPP4 gene,MPP4,1
2784,mRNA synthesis,mRNA synthesis,1
2785,MTA1 gene,MTA1,2
2786,MTOR gene,mTOR,8
2787,MTX1 gene,metaxin 1,7
2788,MTX1 gene,Metaxin 1,1
2789,MTX2 gene,metaxin 2,11
2790,MTX2 gene,Metaxin 2,2
2791,MUC20 gene,MUC20,6
2792,Multigene Family,multigene family,1
2793,Multiple Sclerosis,multiple sclerosis,1
2794,Multiprotein Complexes,multiprotein complexes,1
2795,Muridae,murine genes,1
2796,Murine,murine,39
2797,Murine,Murine,2
2798,Mus,mouse,86
2799,Mus,Mouse,2
2800,Muscle,muscle,8
2801,Muscle,muscle tissue,1
2802,muscle cell differentiation,muscle differentiation,4
2803,Muscle Cells,muscle cells,3
2804,Muscle Cells,muscle cell,1
2805,Muscle Cells,myocytes,5
2806,Muscle Development,muscle development,2
2807,Muscle Fibers,muscle fibers,2
2808,Muscle Fibers,muscle fiber,1
2809,Muscle Fibers,muscle fibres,1
2810,Muscle function,muscle function,1
2811,"Muscle, Smooth, Vascular",vascular smooth muscle,2
2812,"Muscle, Striated",striated muscle,2
2813,"Muscular Dystrophies, Limb-Girdle",limb-girdle muscular dystrophies,1
2814,Muscular Dystrophy,muscular dystrophies,1
2815,Muscular Dystrophy,muscular dystrophy,1
2816,"MUSK protein, human",muscle-specific,4
2817,Mutagenesis Process,Mutagenesis,1
2818,mutant,mutants,17
2819,mutant,mutant,35
2820,mutant,Mutant,3
2821,Mutant Proteins,mutant protein,2
2822,Mutant Proteins,mutant proteins,2
2823,Mutation,mutations,30
2824,Mutation,Mutations,17
2825,Mutation,genetic alterations,1
2826,Mutation Abnormality,mutation,23
2827,Mutation Abnormality,Mutation,4
2828,Mutation Abnormality,mutated,6
2829,mutation analysis,Mutational analysis,1
2830,MYC Family Protein,protein Myc,1
2831,Mycobacterium avium infection,Mycobacterium avium infection,2
2832,Mycobacterium Infections,mycobacterial infection,1
2833,MYEF2 gene,MEF-2,5
2834,Myelin Sheath,myelinated,1
2835,MYL4 gene,GT1,5
2836,Myoblasts,myoblast,1
2837,Myoblasts,myoblasts,6
2838,Myoblasts,muscle precursor cells,1
2839,Myocardial degeneration,myocardial regeneration,2
2840,Myocardial Infarction,myocardial infarction,1
2841,Myocardium,cardiac muscle genes,1
2842,Myocardium,myocardium,2
2843,MYOCD gene,Myocardin,1
2844,MYOCD gene,myocardin,3
2845,myocyte enhancer factor 2C,MEF2C transcription factor,1
2846,"Myocytes, Cardiac",cardiomyocytes,15
2847,"Myocytes, Cardiac",heart muscle cells,1
2848,"Myocytes, Cardiac",cardiomyocyte,6
2849,"Myocytes, Cardiac",Cardiomyocytes,1
2850,"Myocytes, Cardiac",cardiac myocytes,2
2851,"Myocytes, Cardiac",Cardiomyocyte,1
2852,"Myocytes, Smooth Muscle",smooth muscle cells,4
2853,"Myocytes, Smooth Muscle",SMCs,1
2854,MYOD1 gene,MyoD,7
2855,MYOD1 gene,myogenic differentiation,1
2856,Myofilaments,myofilaments,1
2857,Myogenesis,myogenesis,3
2858,Myogenin,myogenic,1
2859,Myogenin,myogenin,1
2860,Myopathy,skeletal muscle disease,1
2861,myosin-binding protein C,myosin-binding protein,1
2862,"N,N-dimethylarginine",asymmetric dimethyl arginine,1
2863,Na(+)/H(+) Exchange Regulatory Cofactor NHE-RF3,PDZ domain-containing protein family,1
2864,Name Given at Birth,birth,3
2865,National reporting jurisdiction:Loc:Pt:^Event:Nom,event,2
2866,Native (qualifier value),native,3
2867,Natural Killer Cells,natural killer cells,1
2868,NCF1 gene,Ncf1,3
2869,NCI Thesaurus Property,property,1
2870,NCKAP1 gene,Nck-associated protein 1,1
2871,NCKAP1 gene,Nap1,4
2872,NCOA1 gene,steroid receptor coactivator 1,1
2873,NCOA1 gene,SRC-1,6
2874,NCOA1 gene,steroid receptor coactivator,2
2875,NCOA1 gene,SRC,3
2876,NCOA1 gene,nuclear receptor coactivator level,1
2877,"NCOA1 protein, human",NCoA-1,2
2878,NCOA2 gene,glucocorticoid receptor-interacting protein 1,2
2879,NCOA2 gene,GRIP1,41
2880,NCSTN gene,nicastrin,5
2881,NDE1 gene,NUDE,2
2882,NDE1 gene,Nde1,2
2883,NDE1 gene,NDE1,2
2884,NDEL1 gene,mNudE-L,4
2885,NDEL1 gene,NudEL,1
2886,NDEL1 gene,NudE-like protein,1
2887,NDEL1 gene,Ndel1,10
2888,NDEL1 gene,NDEL1,13
2889,NDEL1 gene,Nudel,7
2890,NDFIP1 gene,Ndfip1,2
2891,Neck,neck,1
2892,Negative,negative,10
2893,Negative Charge,negative charge,1
2894,negative regulation of excitatory postsynaptic potential,excitatory postsynaptic membrane,1
2895,Negative Regulation of G2 to M Transition,G2/M,2
2896,NEIL2 gene,Neh2,1
2897,Neocortex,neocortex,3
2898,Neonatal (qualifier value),neonatal,4
2899,Neonatal (qualifier value),newborn,1
2900,Neoplasms,tumors,1
2901,Neoplastic Cell Transformation,tumorigenesis,4
2902,Neoplastic Cell Transformation,oncogenesis,1
2903,Nerve Degeneration,neurodegeneration,3
2904,Nerve Growth Factor,nerve growth factor,1
2905,Nerve Growth Factor,NGF,2
2906,nerve supply,innervation,1
2907,Nerve Tissue,neural tissues,2
2908,nervous system disorder,neurological disorders,2
2909,Nervous system structure,nervous systems,1
2910,nestin protein,nestin,1
2911,Network,protein networks,1
2912,Network,networks,7
2913,neural,neural,2
2914,Neural Crest,neural crest,2
2915,neural crest cell migration,cranial neural crest cell migration,1
2916,neural crest cell migration,neural crest cell migration,1
2917,Neural Crest Cells,neural crest cells,3
2918,Neural Network Simulation,neural-network models,1
2919,Neural Plate,neural plate,1
2920,Neural Stem Cells,neural stem cells,2
2921,Neural Stem Cells,NSCs,3
2922,Neural tube,neural tube,2
2923,neural tube closure,neural tube unclosure,1
2924,Neural Tube Defects,neural tube defects,1
2925,Neuregulin Receptor,neuregulin receptor,1
2926,Neuregulins,neuregulins,4
2927,Neuregulins,NRG,2
2928,Neurites,neurites,5
2929,Neuroblast,neuroblasts,2
2930,neurocognitive,neurocognitive,1
2931,NEUROD2 gene,neuroD2,3
2932,Neurodegenerative Disorders,neurodegenerative disorder,1
2933,Neurodegenerative Disorders,neurodegenerative diseases,3
2934,neurodevelopment,neurodevelopment,1
2935,Neuroepithelial,mouse neuroepithelial,1
2936,Neuroepithelium,neuroepithelium,3
2937,Neurofibrillary degeneration (morphologic abnormality),neurofibrillary tangles,1
2938,Neurogenesis,neurogenesis,6
2939,Neurogenesis,neural development,2
2940,Neurogenesis,neuronal growth cones,1
2941,Neuroglia,glial cells,7
2942,Neuroglia,mouse neuroglial cells,1
2943,Neuroglia,non-neuronal cells,1
2944,Neuroglia,glia,1
2945,Neuroglia,glial,1
2946,Neurologic (qualifier value),neurologic,1
2947,Neurologic Deficits,motor deficits,1
2948,Neurological observations,nervous system,6
2949,neuron component,neuronal components,1
2950,neuron development,neuronal development,7
2951,neuron differentiation,neural differentiation,2
2952,neuron migration,neuronal cell migration,1
2953,neuron migration,mild neuronal migration,1
2954,neuron structure,neuronal structures,1
2955,neuronal,neuronal,5
2956,Neuronal Differentiation,neuronal differentiation,3
2957,Neuronal Outgrowth,neurite outgrowth,1
2958,Neuronal Outgrowth,neuritic outgrowth,1
2959,Neuronal Plasticity,neuronal plasticity,1
2960,Neuronal Plasticity,synaptic plasticity,3
2961,neuronal signal transduction,neuronal motility signal transduction,1
2962,Neurons,Neuron 7,1
2963,Neurons,neurons,49
2964,Neurons,neuron,1
2965,Neurons,neural cells,2
2966,Neuropathology,neuropathologies,1
2967,Neuropeptides,neuropeptide,1
2968,Neuroprotection,neuroprotection,1
2969,Neuroprotective Effect,neuroprotective effects,2
2970,Neurosecretory Systems,neuroendocrine,1
2971,Neurotransmitter Receptor,neurotransmitter receptors,2
2972,neurotransmitter release,Neurotransmitter release,1
2973,Neurulation,neural tube formation,1
2974,neutrophil,neutrophils,3
2975,Never (frequency),never,1
2976,New,novel,9
2977,NFE2L2 gene,NF-E2-related-factor 2,1
2978,NFE2L2 wt Allele,Nrf2,23
2979,NFE2L2 wt Allele,nrf2,1
2980,NFE2L2 wt Allele,Nrf2 protein,1
2981,NFI Transcription Factors,nuclear factor,2
2982,NF-kappa B,NF-kappa,1
2983,NFS1 gene,Nfs1,1
2984,"Night blindness, congenital stationary",congenital stationary night blindness,1
2985,Night time,night,1
2986,Ninein,ninein,1
2987,Nisoldipine,nisoldipine,2
2988,Nitric Oxide Synthase,nitric oxide synthase-2,1
2989,nitric-oxide synthase inhibitor activity,inhibitory activity,2
2990,N-Methylaspartate,N-methyl-D-aspartate,1
2991,N-Methyl-D-Aspartate Receptors,NMDA receptor,2
2992,N-Methyl-D-Aspartate Receptors,N-methyl-D-aspartate receptor,1
2993,N-Methyl-D-Aspartate Receptors,NMDAR,3
2994,N-Methyl-D-Aspartate Receptors,NMDARs,1
2995,No effect,no effect,1
2996,No incoordination,coordinated,1
2997,No reaction,reactions,1
2998,No structural defects,structural defects,1
2999,Nocodazole,nocodazole,1
3000,Non-Clinical Postnatal Trial Phase,postnatal,6
3001,Nongranular leukocyte,mononucleated,1
3002,"Normal, Unit of Concentration",normal,10
3003,North,Northern,1
3004,Northern Blot,Northern blots,1
3005,Northern Blotting,Northern blot analysis,7
3006,Northern Blotting,Northern blot,3
3007,Northern Blotting,RNA blot analysis,1
3008,Northern Blotting,Northern blotting,1
3009,"NOS3 protein, human",constitutive,3
3010,"NOTCH1 protein, human",Notch1,1
3011,Nothing,nothing,1
3012,"NR3C2 protein, human",mineralocorticoid receptor,1
3013,NR4A2 gene,Nurr1,1
3014,NR4A3 gene,Minor,1
3015,"NRBP protein, human",nuclear receptor-binding,1
3016,NRG1 gene,neuregulin gene,1
3017,"NRG1 protein, human",Neuregulin-1,1
3018,"NRG1 protein, human",Nrg1,2
3019,NTHL1 wt Allele,Nth1,1
3020,NUAK1 wt Allele,Omphk1,3
3021,nuclear,nuclear,4
3022,Nuclear accumulation,nuclear accumulation,1
3023,Nuclear Export Signals,nuclear export signal motif,1
3024,Nuclear Export Signals,nuclear export signal,1
3025,nuclear hormone receptor activity,nuclear hormone receptor,1
3026,Nuclear Hormone Receptors,nuclear hormone receptors,1
3027,Nuclear Lamina,nuclear lamina,1
3028,Nuclear LIM Interactor-Interacting Factor 2,CTD,2
3029,Nuclear Localization Signals,nuclear localization signal,1
3030,Nuclear Magnetic Resonance,NMR,1
3031,nuclear migration,nuclear movements,1
3032,nuclear migration,nuclear migration,1
3033,nuclear periphery,nuclear periphery,1
3034,nuclear pore distribution,nuclear distribution gene,1
3035,nuclear pore distribution,nuclear distribution,1
3036,nuclear pore localization,nuclear localization,6
3037,nuclear pore localization,Nuclear localization,1
3038,Nuclear Proteins,nuclear proteins,3
3039,Nuclear Proteins,nuclear pore proteins,1
3040,Nuclear Receptor Coactivators,p160 nuclear receptor coactivators,1
3041,"Nuclear Receptor Subfamily 1, Group F, Member 1",orphan nuclear receptor RORalpha,1
3042,"nuclear receptor subfamily 1, group H, member 3",receptor-alpha,1
3043,"Nuclear Receptor Subfamily 4, Group A, Member 1",Nur77,1
3044,Nuclear Translocation,nuclear translocation,1
3045,nucleic acid biosynthesis,nucleic acid biosynthesis,1
3046,nucleocytoplasmic transport,nucleocytoplasmic transport,1
3047,Nucleosomes,nucleosomes,1
3048,Nucleotides,nucleotides,2
3049,Nucleotides,nucleotide,2
3050,Null Allele,null allele,5
3051,Null Value,,1
3052,Numb (emotional response),Numb,1
3053,Numbers,numbers,2
3054,"Numerical Analysis, Computer-Assisted",computer-assisted analysis,1
3055,Numerous,multiple,3
3056,Numerous,Multiple lines,1
3057,Nutrients,nutrient,2
3058,Nutrients,Nutrient,1
3059,NYAP1 gene,NYAP1,1
3060,NYAP2 gene,NYAP2,1
3061,O(6)-Methylguanine-DNA Methyltransferase,EC 2.1.1.63,1
3062,Obesity Adverse Event,obesity,5
3063,Obesity Adverse Event,Obesity,1
3064,Object Attribute,attributes,1
3065,objective (goal),goal,1
3066,Observation - diagnostic procedure,observation,3
3067,Observation in research,observations,10
3068,Observation parameter,parameters,3
3069,Observed,observed,3
3070,Obstetric Delivery,parturition,4
3071,Obstructed,obstructed,1
3072,Obstruction,blocked,6
3073,Off,OFF,1
